grupo;Codigo_Puerto_de_Arribo;Nombre_Puerto_de_Arribo;Cod_Variedad;Nombre_Variedad;Grupo_Variedad;Cod_Variedad_Packing;Nombre_Variedad_Packing;Nombre_Productor_Real;Fecha_Inspeccion;Puerto_de_Zarpe;Nombre_Recibidor;Nombre_Nave;Numero_Contenedor;BROKER;Tipo_Nave_Exportacion;Tipo_Caja;Cod_Temporada;Tipo_Movimiento;Cod_Envase;Cod_Etiqueta;Cod_Embalaje;Plu;Cajas;Nombre_Categoria;Cod_Calibre;Zona;Cod_Mercado_de_la_Nave;Nombre_Mercado_de_la_Nave;Cod_Mercado_del_Despacho;Nombre_Mercado_del_Despacho;Etiqueta;Tipo_SAG;Cod_Nave;Cod_Recibidor;Fecha_Despacho;Mes_Despacho;Cod_Puerto;Tipo_Camion;Cod_Embarcador;Base_de_Pallet;Grupo_Productor;Semana_Zarpe;Nombre_Puerto_Arribo;Fecha_Arribo;Fecha_Zarpe;Mes_Zarpe;Tipo_Transporte;Cod_Naviera;Nombre_Naviera;Fecha_Packing;Fecha_Recepcion;CajasEquivalentes;Peso_Neto_Envase_Operacional;Peso_Bruto_Envase_Operacional;Kilos_Brutos_Envase_Operacional;Nombre_Transportista;Nombre_Provincia;Codigo_Comuna;Nombre_Comuna;Cod._Pa¡s_Nave;Nom._Pa¡s_Nave;Cod_Destino_;Nombre_Destino;Total_Kilos;_Numero_Proceso_;Peso_Real_Pallet;__Caja_Est__;Fecha_de_cosecha;Fecha_de_Recepci¢n;FOB_CAJA
11;996;SHENZHEN;SA;SANTINA;;SA;SANTINA;Prod.6;43792;AEROPUERTO__C.A.M.B.;Recibidor16;AEREO;TERMO;;Naves_Exportaci¢n;CAJA_CARTON_5,0_KG;C3;D;C5;MPR;22MPRM;0INF;2;CAT_1;PD;C;CHI;CHINA;CHI;CHINA;MASTER_PAVO_REAL;O;90;4;02-12-2019;Diciembre;9;T;1;MA0304;NATS;49;AER_CHN;02-12-2019;02-12-2019;Diciembre;1;6;KALITA_AIR;25-11-2019;25-11-2019;0;5;5,7;5,7;PARTICULAR;CURICO;70201;CURICO;CHI;CHINA;996;SHENZHEN;10;243;0;2;25-11-2019;25-11-2019;39,18
11;996;SHENZHEN;SA;SANTINA;;SA;SANTINA;Prod.5;43792;AEROPUERTO__C.A.M.B.;Recibidor16;AEREO;TERMO;;Naves_Exportaci¢n;CAJA_CARTON_5,0_KG;C3;D;C5;MPR;22MPRM;0INF;10;CAT_1;PD;C;CHI;CHINA;CHI;CHINA;MASTER_PAVO_REAL;O;90;4;02-12-2019;Diciembre;9;T;1;MA0304;NATS;49;AER_CHN;02-12-2019;02-12-2019;Diciembre;1;6;KALITA_AIR;24-11-2019;24-11-2019;0;5;5,7;5,7;PARTICULAR;CURICO;70201;CURICO;CHI;CHINA;996;SHENZHEN;50;237;0;10;24-11-2019;24-11-2019;39,18
11;996;SHENZHEN;SA;SANTINA;;SA;SANTINA;Prod.26;43797;AEROPUERTO__C.A.M.B.;Recibidor16;AEREO;TERMO;;Naves_Exportaci¢n;CAJA_CARTON_5,0_KG;C3;D;C5;MPR;22MPRM;MSAG;2;CAT_1;SJDD;C;CHI;CHINA;CHI;CHINA;MASTER_PAVO_REAL;O;90;4;02-12-2019;Diciembre;9;T;1;MA0304;NATS;49;AER_CHN;02-12-2019;02-12-2019;Diciembre;1;6;KALITA_AIR;28-11-2019;28-11-2019;0;5;5,7;5,7;PARTICULAR;TALCA;70410;TALCA;CHI;CHINA;996;SHENZHEN;10;312;0;2;27-11-2019;27-11-2019;36,84
11;996;SHENZHEN;SA;SANTINA;;SA;SANTINA;Prod.21;43799;AEROPUERTO__C.A.M.B.;Recibidor16;AEREO;TERMO;;Naves_Exportaci¢n;CAJA_CARTON_5,0_KG;C3;D;C5;CO;50COM;MSAG;1;CAT_1;SJDD;C;CHI;CHINA;CHI;CHINA;CONDOR;O;90;4;02-12-2019;Diciembre;9;T;1;MA0304;NATS;49;AER_CHN;02-12-2019;02-12-2019;Diciembre;1;6;KALITA_AIR;21-11-2019;21-11-2019;0;5;5,6;5,6;PARTICULAR;CACHAPOAL;60113;QUINTA_TILCOCO;CHI;CHINA;996;SHENZHEN;5;128;0;1;21-11-2019;21-11-2019;34,21
11;996;SHENZHEN;SA;SANTINA;;SA;SANTINA;Prod.21;43798;AEROPUERTO__C.A.M.B.;Recibidor16;AEREO;TERMO;;Naves_Exportaci¢n;CAJA_CARTON_5,0_KG;C3;D;C5;PR;50PRM;0INF;22;CAT_1;JD;C;CHI;CHINA;CHI;CHINA;PAVO_REAL;O;90;4;02-12-2019;Diciembre;9;T;1;MA0304;NATS;49;AER_CHN;02-12-2019;02-12-2019;Diciembre;1;6;KALITA_AIR;29-11-2019;29-11-2019;0;5;5,6;5,6;PARTICULAR;CACHAPOAL;60113;QUINTA_TILCOCO;CHI;CHINA;996;SHENZHEN;110;344;0;22;29-11-2019;29-11-2019;30,92
11;996;SHENZHEN;SA;SANTINA;;SA;SANTINA;Prod.21;43799;AEROPUERTO__C.A.M.B.;Recibidor16;AEREO;TERMO;;Naves_Exportaci¢n;CAJA_CARTON_5,0_KG;C3;D;C5;CO;50COM;MSAG;1;CAT_1;SJDD;C;CHI;CHINA;CHI;CHINA;CONDOR;O;90;4;02-12-2019;Diciembre;9;T;1;MA0304;NATS;49;AER_CHN;02-12-2019;02-12-2019;Diciembre;1;6;KALITA_AIR;21-11-2019;21-11-2019;0;5;5,6;5,6;PARTICULAR;CACHAPOAL;60113;QUINTA_TILCOCO;CHI;CHINA;996;SHENZHEN;5;136;0;1;21-11-2019;21-11-2019;34,21
11;996;SHENZHEN;SA;SANTINA;;SA;SANTINA;Prod.33;43799;AEROPUERTO__C.A.M.B.;Recibidor16;AEREO;TERMO;;Naves_Exportaci¢n;CAJA_CARTON_5,0_KG;C3;D;C5;PR;50PRM;MSAG;1;CAT_1;SJD;C;CHI;CHINA;CHI;CHINA;PAVO_REAL;O;90;4;02-12-2019;Diciembre;9;T;1;MA0304;NATS;49;AER_CHN;02-12-2019;02-12-2019;Diciembre;1;6;KALITA_AIR;30-11-2019;30-11-2019;0;5;5,6;5,6;PARTICULAR;TALCA;70407;RIO_CLARO;CHI;CHINA;996;SHENZHEN;5;367;0;1;29-11-2019;29-11-2019;34,37
11;996;SHENZHEN;SA;SANTINA;;SA;SANTINA;Prod.34;43798;AEROPUERTO__C.A.M.B.;Recibidor16;AEREO;TERMO;;Naves_Exportaci¢n;CAJA_CARTON_2,5_KG;C3;D;C2,5;PR;25PRA;0INF;18;CAT_1;PDD;C;CHI;CHINA;CHI;CHINA;PAVO_REAL;O;90;4;02-12-2019;Diciembre;9;T;1;PL0151;NATS;49;AER_CHN;02-12-2019;02-12-2019;Diciembre;1;6;KALITA_AIR;29-11-2019;29-11-2019;0;2,5;2,9;2,9;PARTICULAR;CURICO;70208;TENO;CHI;CHINA;996;SHENZHEN;45;344;0;9;29-11-2019;29-11-2019;21,08
11;996;SHENZHEN;SA;SANTINA;;SA;SANTINA;Prod.31;43797;AEROPUERTO__C.A.M.B.;Recibidor16;AEREO;TERMO;;Naves_Exportaci¢n;CAJA_CARTON_2,5_KG;C3;D;C2,5;PR;25PRA;MSAG;6;CAT_1;SJDD;C;CHI;CHINA;CHI;CHINA;PAVO_REAL;O;90;4;02-12-2019;Diciembre;9;T;1;PL0151;NATS;49;AER_CHN;02-12-2019;02-12-2019;Diciembre;1;6;KALITA_AIR;30-11-2019;30-11-2019;0;2,5;2,9;2,9;PARTICULAR;CURICO;70208;TENO;CHI;CHINA;996;SHENZHEN;15;396;0;3;30-11-2019;30-11-2019;18,42
11;996;SHENZHEN;ST;STELLA;;SA;SANTINA;Prod.2;43799;AEROPUERTO__C.A.M.B.;Recibidor16;AEREO;TERMO;;Naves_Exportaci¢n;CAJA_CARTON_2,5_KG;C3;D;C2,5;PR;25PRA;0INF;97;CAT_1;PD;C;CHI;CHINA;CHI;CHINA;PAVO_REAL;O;90;4;02-12-2019;Diciembre;9;T;1;PL0151;NATS;49;AER_CHN;02-12-2019;02-12-2019;Diciembre;1;6;KALITA_AIR;30-11-2019;30-11-2019;0;2,5;2,9;2,9;PARTICULAR;CURICO;70208;TENO;CHI;CHINA;996;SHENZHEN;242,5;371;0;49;29-11-2019;29-11-2019;19,08
